Value,Jaccard count,Jaccard percentage
0.22, 5, 2.28
0.27, 7, 3.2
0.39, 2, 0.91
0.05, 3, 1.37
0.0, 49, 22.37
0.28, 5, 2.28
0.31, 4, 1.83
0.78, 3, 1.37
0.16, 3, 1.37
0.12, 6, 2.74
0.5, 2, 0.91
0.3, 3, 1.37
0.56, 2, 0.91
0.32, 4, 1.83
0.18, 5, 2.28
0.13, 9, 4.11
0.51, 1, 0.46
0.33, 10, 4.57
0.14, 2, 0.91
0.21, 4, 1.83
0.6, 3, 1.37
0.7, 1, 0.46
0.4, 1, 0.46
0.15, 3, 1.37
0.53, 1, 0.46
0.55, 1, 0.46
0.17, 5, 2.28
0.08, 3, 1.37
0.19, 3, 1.37
0.66, 1, 0.46
0.29, 4, 1.83
0.26, 1, 0.46
0.88, 1, 0.46
0.25, 4, 1.83
0.07, 4, 1.83
0.46, 3, 1.37
0.37, 1, 0.46
0.63, 1, 0.46
0.42, 2, 0.91
0.67, 2, 0.91
0.57, 2, 0.91
0.1, 6, 2.74
0.23, 4, 1.83
0.45, 4, 1.83
0.71, 1, 0.46
0.09, 3, 1.37
0.03, 2, 0.91
0.91, 1, 0.46
0.04, 1, 0.46
0.06, 1, 0.46
0.2, 3, 1.37
0.49, 3, 1.37
0.24, 2, 0.91
0.74, 1, 0.46
0.11, 2, 0.91
0.35, 2, 0.91
0.52, 1, 0.46
0.38, 1, 0.46
0.59, 1, 0.46
0.36, 2, 0.91
0.73, 1, 0.46
0.75, 1, 0.46
