Value,Probability count,Probability percentage
0.3333333333333333, 26, 9.56
0.2, 11, 4.04
0.5, 10, 3.68
0.0, 56, 20.59
0.5714285714285714, 3, 1.1
0.16666666666666666, 9, 3.31
1.0, 102, 37.5
0.375, 5, 1.84
0.5555555555555556, 1, 0.37
0.25, 16, 5.88
0.2857142857142857, 5, 1.84
0.6666666666666666, 3, 1.1
0.4, 5, 1.84
0.6, 6, 2.21
0.2222222222222222, 2, 0.74
0.42857142857142855, 3, 1.1
0.625, 1, 0.37
0.18181818181818182, 1, 0.37
0.14285714285714285, 3, 1.1
0.1111111111111111, 1, 0.37
0.7142857142857143, 1, 0.37
0.09090909090909091, 1, 0.37
0.125, 1, 0.37
