Number of signal words,Number of unique signal words,Probability unique signal
6, 3, 0.3333333333333333
5, 3, 0.2
4, 3, 0.5
11, 2, 0.0
2, 1, 0.0
7, 5, 0.5714285714285714
6, 3, 0.16666666666666666
1, 1, 1.0
3, 1, 0.0
1, 1, 1.0
1, 1, 1.0
2, 2, 1.0
8, 5, 0.375
9, 6, 0.5555555555555556
4, 2, 0.0
4, 2, 0.25
2, 2, 1.0
7, 4, 0.2857142857142857
1, 1, 1.0
1, 1, 1.0
3, 3, 1.0
4, 2, 0.25
1, 1, 1.0
1, 1, 1.0
4, 1, 0.0
7, 3, 0.2857142857142857
10, 5, 0.2
3, 2, 0.3333333333333333
3, 2, 0.3333333333333333
1, 1, 1.0
1, 1, 1.0
4, 4, 1.0
1, 1, 1.0
3, 2, 0.3333333333333333
1, 1, 1.0
1, 1, 1.0
4, 2, 0.25
6, 5, 0.6666666666666666
6, 2, 0.16666666666666666
1, 1, 1.0
8, 5, 0.5
5, 1, 0.0
1, 1, 1.0
4, 1, 0.0
2, 2, 1.0
2, 1, 0.0
8, 5, 0.375
4, 1, 0.0
2, 2, 1.0
2, 1, 0.0
2, 2, 1.0
0, 0, nan
5, 3, 0.4
5, 1, 0.0
6, 4, 0.3333333333333333
3, 2, 0.3333333333333333
5, 4, 0.6
0, 0, nan
2, 2, 1.0
5, 3, 0.4
3, 3, 1.0
3, 2, 0.3333333333333333
2, 2, 1.0
3, 2, 0.3333333333333333
6, 2, 0.16666666666666666
0, 0, nan
9, 4, 0.2222222222222222
0, 0, nan
4, 4, 1.0
1, 1, 1.0
2, 2, 1.0
7, 5, 0.42857142857142855
3, 2, 0.3333333333333333
2, 1, 0.0
2, 2, 1.0
1, 1, 1.0
8, 6, 0.625
2, 2, 1.0
3, 1, 0.0
1, 1, 1.0
6, 2, 0.16666666666666666
2, 1, 0.0
6, 3, 0.3333333333333333
5, 3, 0.4
8, 4, 0.375
1, 1, 1.0
4, 2, 0.25
7, 4, 0.2857142857142857
2, 1, 0.0
6, 5, 0.6666666666666666
2, 1, 0.0
4, 4, 1.0
2, 2, 1.0
0, 0, nan
1, 1, 1.0
1, 1, 1.0
5, 4, 0.6
4, 1, 0.0
4, 4, 1.0
1, 1, 1.0
1, 1, 1.0
2, 2, 1.0
6, 2, 0.16666666666666666
0, 0, nan
4, 2, 0.0
1, 1, 1.0
6, 5, 0.6666666666666666
5, 5, 1.0
4, 2, 0.25
4, 1, 0.0
0, 0, nan
3, 2, 0.3333333333333333
8, 4, 0.25
3, 2, 0.3333333333333333
2, 1, 0.0
3, 2, 0.3333333333333333
0, 0, nan
0, 0, nan
2, 1, 0.0
3, 3, 1.0
2, 2, 1.0
0, 0, nan
1, 1, 1.0
6, 3, 0.16666666666666666
0, 0, nan
1, 1, 1.0
5, 2, 0.0
0, 0, nan
2, 1, 0.0
1, 1, 1.0
2, 1, 0.0
6, 3, 0.0
1, 1, 1.0
0, 0, nan
2, 2, 1.0
6, 1, 0.0
2, 2, 1.0
7, 4, 0.2857142857142857
0, 0, nan
4, 1, 0.0
5, 4, 0.6
2, 2, 1.0
2, 1, 0.0
2, 1, 0.0
3, 1, 0.0
2, 1, 0.0
6, 3, 0.3333333333333333
11, 4, 0.18181818181818182
4, 1, 0.0
7, 2, 0.14285714285714285
5, 3, 0.2
2, 2, 1.0
5, 3, 0.2
1, 1, 1.0
3, 1, 0.0
6, 1, 0.0
0, 0, nan
6, 4, 0.5
5, 2, 0.2
0, 0, nan
1, 1, 1.0
0, 0, nan
4, 2, 0.25
5, 2, 0.2
7, 2, 0.14285714285714285
5, 1, 0.0
7, 3, 0.2857142857142857
2, 2, 1.0
4, 3, 0.5
2, 2, 1.0
6, 4, 0.5
3, 2, 0.3333333333333333
8, 3, 0.25
2, 1, 0.0
2, 2, 1.0
1, 1, 1.0
1, 1, 1.0
9, 2, 0.1111111111111111
2, 2, 1.0
7, 6, 0.7142857142857143
9, 5, 0.3333333333333333
1, 1, 1.0
1, 1, 1.0
4, 2, 0.25
1, 1, 1.0
5, 2, 0.2
5, 2, 0.2
11, 2, 0.09090909090909091
2, 2, 1.0
1, 1, 1.0
3, 1, 0.0
3, 2, 0.3333333333333333
3, 2, 0.3333333333333333
8, 3, 0.0
2, 1, 0.0
1, 1, 1.0
0, 0, nan
2, 1, 0.0
4, 3, 0.5
3, 3, 1.0
3, 2, 0.3333333333333333
2, 2, 1.0
1, 1, 1.0
5, 2, 0.2
0, 0, nan
1, 1, 1.0
6, 3, 0.16666666666666666
6, 2, 0.16666666666666666
2, 2, 1.0
2, 1, 0.0
1, 1, 1.0
2, 1, 0.0
2, 1, 0.0
4, 4, 1.0
8, 3, 0.125
4, 2, 0.25
8, 4, 0.375
1, 1, 1.0
6, 3, 0.3333333333333333
4, 3, 0.5
8, 3, 0.25
2, 2, 1.0
3, 3, 1.0
4, 3, 0.5
1, 1, 1.0
4, 2, 0.25
5, 1, 0.0
5, 4, 0.6
0, 0, nan
1, 1, 1.0
4, 2, 0.25
7, 4, 0.42857142857142855
1, 1, 1.0
3, 2, 0.3333333333333333
3, 3, 1.0
0, 0, nan
1, 1, 1.0
1, 1, 1.0
7, 5, 0.5714285714285714
3, 1, 0.0
4, 1, 0.0
4, 2, 0.25
1, 1, 1.0
2, 1, 0.0
2, 1, 0.0
4, 2, 0.0
2, 1, 0.0
5, 5, 1.0
0, 0, nan
2, 2, 1.0
8, 5, 0.25
4, 3, 0.5
0, 0, nan
1, 1, 1.0
4, 1, 0.0
6, 1, 0.0
3, 2, 0.3333333333333333
2, 2, 1.0
5, 3, 0.4
3, 3, 1.0
2, 2, 1.0
0, 0, nan
3, 2, 0.3333333333333333
8, 5, 0.375
4, 1, 0.0
5, 4, 0.6
1, 1, 1.0
6, 3, 0.3333333333333333
9, 3, 0.2222222222222222
3, 1, 0.0
4, 4, 1.0
5, 4, 0.6
5, 3, 0.4
3, 2, 0.3333333333333333
2, 2, 1.0
0, 0, nan
1, 1, 1.0
1, 1, 1.0
1, 1, 1.0
3, 3, 1.0
2, 1, 0.0
12, 6, 0.16666666666666666
7, 5, 0.5714285714285714
2, 2, 1.0
4, 1, 0.0
3, 2, 0.3333333333333333
2, 2, 1.0
1, 1, 1.0
10, 6, 0.2
0, 0, nan
0, 0, nan
2, 2, 1.0
2, 2, 1.0
1, 1, 1.0
4, 2, 0.25
4, 3, 0.5
7, 2, 0.14285714285714285
5, 2, 0.2
7, 4, 0.42857142857142855
0, 0, nan
